PLAN DE ENTRENAMIENTO - AI COACH
Fecha Inicio:,2026-03-07
Estado:,COMPLETADO - Listo para análisis

INSTRUCCIONES:
1. Completa cada sesión con tus pesos y repeticiones REALES
2. Marca el RPE (Rate of Perceived Exertion) 1-10
3. Marca notas de cómo te sentiste
4. Devuelve el archivo completado al coach para análisis

Día,Ejercicio,Series Planeadas,Reps Planeadas,Peso Planificado (kg),Series Reales,Reps Reales,Peso Real (kg),RPE,Notas
Lunes,Bench Press,5,AMRAP,50,5,8,50,7,Buena forma - explosivo
Lunes,Incline DB Press,3,8,,3,8,20,6,Control perfecto
Lunes,Barbell Rows,4,6,,4,6,70,6,Fuerte
Lunes,Tricep Rope,3,8,35,3,8,35,8,Quemazo controlado

Martes,Leg Press,4,8,100,4,8,100,6,Profundidad completa
Martes,Leg Curls,3,10,,3,10,70,7,Mucho volumen
Martes,Calf Raises,3,12,,3,12,180,5,Fácil

Miércoles,Weighted Pull-ups,4,5,,4,5,+10,7,Fuerte
Miércoles,Barbell Rows,4,6,,4,6,75,7,Mejor que lunes
Miércoles,Lat Pulldowns,3,8,,3,8,90,6,Buena conexión
Miércoles,DB Rows,3,8,,3,8,35,6,Controlado

Jueves,Bird Dogs,3,10,-,3,10,-,4,McGill Protocol
Jueves,Dead Bug,3,10,-,3,10,-,4,McGill Protocol
Jueves,Pallof Press,3,8,,3,8,40,5,McGill Protocol
Jueves,Walk,-,20000+ pasos,-,1,25000,-,3,NEAT Priority - dia muy activo

Viernes,Machine Chest Fly,3,10,,3,10,90,6,Buena contracción
Viernes,Machine Row,3,10,,3,10,120,6,Sólido
Viernes,Shoulder Press Machine,3,8,,3,8,90,6,Control
Viernes,High-rep leg work,2,15,,2,15,120,5,Pump increíble
