PLAN DE ENTRENAMIENTO - AI COACH
Fecha Inicio:,2026-03-07
Estado:,INCOMPLETO - Completar después de entrenar

INSTRUCCIONES:
1. Completa cada sesión con tus pesos y repeticiones REALES
2. Marca el RPE (Rate of Perceived Exertion) 1-10
3. Marca notas de cómo te sentiste
4. Devuelve el archivo completado al coach para análisis

Día,Ejercicio,Series Planeadas,Reps Planeadas,Peso Planificado (kg),Series Reales,Reps Reales,Peso Real (kg),RPE,Notas
Lunes,Bench Press,5,AMRAP,50,,,,,
Lunes,Incline DB Press,3,8,,,,,,
Lunes,Barbell Rows,4,6,,,,,,
Lunes,Tricep Rope,3,8,35,,,,,

Martes,Leg Press,4,8,100,,,,,
Martes,Leg Curls,3,10,,,,,,
Martes,Calf Raises,3,12,,,,,,

Miércoles,Weighted Pull-ups,4,5,,,,,,
Miércoles,Barbell Rows,4,6,,,,,,
Miércoles,Lat Pulldowns,3,8,,,,,,
Miércoles,DB Rows,3,8,,,,,,

Jueves,Bird Dogs,3,10,-,,,,,McGill Protocol
Jueves,Dead Bug,3,10,-,,,,,McGill Protocol
Jueves,Pallof Press,3,8,,,,,,McGill Protocol
Jueves,Walk,-,20000+ pasos,-,,,,,NEAT Priority

Viernes,Machine Chest Fly,3,10,,,,,,
Viernes,Machine Row,3,10,,,,,,
Viernes,Shoulder Press Machine,3,8,,,,,,
Viernes,High-rep leg work,2,15,,,,,,
